MAZ,geometry,Population,area_acres,TAZ
154,POINT (567158.3841532964 4183842.9813050567),1135.0000,43.6754,936
155,POINT (566896.9124664597 4184009.8401117357),1312.0000,32.6018,936
156,POINT (567851.6468224485 4183913.4383193585),1252.0000,51.5858,931
157,POINT (568014.6675933403 4183495.876761759),1059.0000,34.9423,931
158,POINT (567640.5296561787 4183642.62389791),932.0000,48.5109,931
159,POINT (567789.3575505988 4183026.9796496877),1201.0000,40.0602,932
160,POINT (567562.5645430718 4183176.475441602),970.0000,29.7275,932
161,POINT (567381.1227087248 4183327.4417569526),1032.0000,34.5575,932
162,POINT (567217.4536670563 4183497.5439302674),762.0000,23.8267,932
163,POINT (567129.4333873022 4182319.234038712),1407.0000,32.9015,933
164,POINT (567421.2869085664 4182736.609339674),1538.0000,46.1029,933
165,POINT (567269.0168448322 4182501.5688745575),965.0000,32.7546,933
166,POINT (567003.0920428466 4183076.742568764),1372.0000,49.3595,933
167,POINT (566712.1979743075 4182762.8072184986),1663.0000,70.9666,933
168,POINT (565580.7644063075 4183082.376785564),729.0000,56.9278,947
169,POINT (565522.5838968195 4183359.035766466),1851.0000,65.5860,947
170,POINT (568269.6111182133 4181127.2858341145),1015.0000,133.0012,926
171,POINT (568319.0791904739 4180592.7786044916),867.0000,161.5310,926
172,POINT (567594.7519820152 4180848.134650059),1057.0000,82.0977,926
173,POINT (567455.4411084646 4181599.1019223225),1442.0000,97.1336,926
174,POINT (567902.206969646 4182457.469133885),1298.0000,33.3306,928
175,POINT (567673.1266074484 4182323.1742646433),808.0000,19.0490,928
176,POINT (567772.7641018501 4182146.1212544204),1480.0000,21.4907,928
177,POINT (567547.087710346 4182002.938562905),1063.0000,26.8981,928
178,POINT (567992.5973128087 4182047.762441172),1148.0000,15.6800,927
179,POINT (567980.0647627821 4181689.584647977),1742.0000,33.0514,927
180,POINT (568232.306751268 4182010.8570724553),1828.0000,48.1120,927
181,POINT (568489.4025512582 4182572.380091598),1074.0000,28.9318,929
182,POINT (568250.8105610538 4182610.6555473274),1139.0000,35.7176,929
183,POINT (568202.3905919815 4182880.3522686004),941.0000,30.3415,929
184,POINT (567964.5115202259 4182849.337237324),959.0000,24.9495,929
185,POINT (568739.929381276 4183345.910876852),775.0000,34.8067,930
186,POINT (568430.3938440427 4183441.2808812233),1370.0000,104.8388,930
187,POINT (569044.9496659554 4182900.386062232),2005.0000,59.2535,924
188,POINT (569290.6483812653 4182559.883570362),810.0000,26.4039,924
189,POINT (568788.5740645861 4182273.317718871),1746.0000,62.1048,924
190,POINT (568794.5798354205 4182653.7312190807),1369.0000,36.2067,924
191,POINT (569744.2418944194 4182943.4301360487),932.0000,33.7480,923
192,POINT (569459.6541663869 4183051.2258466836),1567.0000,49.0183,923
193,POINT (569718.3998002161 4183480.4792838586),1261.0000,58.8964,923
194,POINT (570060.5816570155 4183235.5180214313),836.0000,42.8981,923
195,POINT (569216.4476960273 4183642.103607934),1208.0000,70.7184,923
196,POINT (569074.3533809987 4183263.4373322716),1285.0000,31.6924,923
197,POINT (570555.0308589388 4184531.5291469065),1249.0000,193.9496,910
198,POINT (570364.0754142819 4183876.758063529),618.0000,38.0398,910
199,POINT (569781.7017655293 4183905.340117888),1696.0000,88.9118,910
200,POINT (570066.9306464295 4184273.4457955),813.0000,51.5700,910
201,POINT (569768.7055903225 4184406.0576050566),672.0000,43.3035,910
202,POINT (571229.7322963483 4184121.1395281353),650.0000,67.7254,909
203,POINT (570950.5449674433 4183755.2916224697),682.0000,47.5204,909
204,POINT (570749.202468251 4183271.2244898397),1126.0000,56.2194,909
205,POINT (570492.4525924001 4183554.7885655067),970.0000,53.8731,909
206,POINT (571438.861440911 4183632.7769332496),688.0000,52.9968,908
207,POINT (571411.1214388903 4183153.810709079),1118.0000,100.9482,908
208,POINT (570936.6315311892 4182860.102561073),1913.0000,61.6632,908
209,POINT (570502.5737825364 4182851.478910951),955.0000,49.2055,906
210,POINT (570444.2200005486 4182457.828769882),1158.0000,45.7050,906
211,POINT (570087.6364260723 4182242.7204230023),1369.0000,38.7205,906
212,POINT (569815.9664932912 4182553.526261544),1473.0000,37.9702,906
213,POINT (570136.0652849247 4182767.833948925),930.0000,41.4905,906
214,POINT (569047.0027237863 4181934.7841722555),2222.0000,54.9434,905
215,POINT (569372.1271286978 4182207.1127794534),1192.0000,36.6300,905
216,POINT (569740.1583526253 4182106.9855823647),1676.0000,61.1460,905
217,POINT (569418.9259381446 4181614.3732422283),901.0000,31.7237,905
218,POINT (569301.4696683071 4181753.9694425073),900.0000,31.5371,905
219,POINT (569540.2033521805 4181445.4679926415),874.0000,38.7848,905
220,POINT (569101.308897615 4181118.746502048),1440.0000,46.2904,925
221,POINT (568867.3466631455 4181387.5516749737),1750.0000,37.8230,925
222,POINT (568620.1635564526 4181808.129430923),1738.0000,38.2097,925
223,POINT (568465.8085743528 4181514.864908331),1818.0000,54.2540,925
224,POINT (569969.3335355169 4179875.2465424137),1345.0000,148.4931,896
225,POINT (569178.6954635829 4179798.8956245114),1253.0000,488.6485,896
226,POINT (570153.0318950237 4180608.464162099),1619.0000,57.0946,897
227,POINT (569779.3825427789 4180713.308695682),1291.0000,37.4076,897
228,POINT (569436.5156793367 4180881.3685265393),1044.0000,31.8038,897
229,POINT (571002.3736625484 4180671.5602379693),900.0000,27.8509,898
230,POINT (570523.8254724874 4180359.634852758),1909.0000,57.5447,898
231,POINT (570641.185145765 4180742.249373672),1122.0000,36.7155,898
232,POINT (570449.191761975 4181881.397927245),1042.0000,59.4187,904
233,POINT (570179.3316795737 4181642.2842867407),1019.0000,46.2338,904
234,POINT (570396.5707870839 4181105.380214186),1145.0000,50.7203,904
235,POINT (569987.0120873892 4181130.4251686744),1596.0000,49.0210,904
236,POINT (569746.7792776014 4181317.9607886304),1225.0000,47.1517,904
237,POINT (571325.8637401303 4181091.516651798),1407.0000,74.5860,903
238,POINT (570828.6742123546 4181208.1573373983),989.0000,50.1232,903
239,POINT (570759.1657833582 4181610.750668985),890.0000,51.7206,903
240,POINT (571159.8264431196 4181502.504998254),823.0000,50.2588,903
241,POINT (572014.1762177189 4181819.50310869),732.0000,176.5676,902
242,POINT (571286.4843664957 4181965.6611373024),917.0000,77.4924,902
243,POINT (570764.1945064833 4182143.7163759526),776.0000,50.8331,902
244,POINT (572063.9899289504 4182822.665242953),791.0000,129.1341,907
245,POINT (571791.9742467123 4182459.4146629795),832.0000,60.0765,907
246,POINT (571323.8301098938 4182530.9856311237),1083.0000,82.1982,907
247,POINT (571746.8902150084 4184717.465596365),704.0000,130.1660,911
248,POINT (572002.8914414409 4184101.992687241),1967.0000,352.7660,911
249,POINT (574181.5183703343 4183086.860147529),1344.0000,862.0485,885
250,POINT (573413.571702958 4182098.898967944),2908.0000,756.7040,885
251,POINT (576058.5395042618 4181187.5706594368),887.0000,179.6322,885
252,POINT (574935.3806188039 4181713.6340118833),852.0000,408.1709,885
253,POINT (572527.4822736097 4181449.260990491),1373.0000,92.0213,901
254,POINT (572817.332741468 4180917.796905604),1798.0000,90.5298,901
255,POINT (572296.1375818738 4181167.470246023),883.0000,40.1298,901
256,POINT (573138.3758594231 4181417.026278416),731.0000,64.4563,886
257,POINT (573906.9342386671 4180867.3911629193),915.0000,114.9839,886
258,POINT (573659.1286244461 4180589.631590006),941.0000,99.7405,886
259,POINT (573582.6526248108 4180130.4929625317),776.0000,48.0794,886
260,POINT (573236.3799147508 4180505.6097957506),804.0000,48.5024,886
261,POINT (572819.2586569088 4180239.274758828),1239.0000,47.3064,889
262,POINT (572989.5034006626 4180029.9534496893),912.0000,30.5786,889
263,POINT (573206.3757005405 4179833.5186551632),1172.0000,56.1191,889
264,POINT (572399.0999666279 4179883.256824792),1037.0000,37.5431,890
265,POINT (572689.3598833387 4179585.029896558),1071.0000,65.0402,890
266,POINT (572337.2434854287 4179226.236575084),871.0000,30.6282,890
267,POINT (572164.9788501265 4179382.134326355),738.0000,27.2492,890
268,POINT (571979.7040597124 4179548.1911389017),1255.0000,44.8345,890
269,POINT (572349.2585162364 4180460.7464261455),1573.0000,126.5552,900
270,POINT (571790.2713081293 4180168.668897643),1588.0000,58.7962,900
271,POINT (571822.3318519418 4179854.078057496),1327.0000,40.0438,900
272,POINT (571465.3673139515 4179653.1688103224),1004.0000,36.7156,900
273,POINT (571806.2631658361 4180976.8005549298),1117.0000,70.7479,899
274,POINT (571788.3219164177 4180491.748319958),1172.0000,45.8898,899
275,POINT (571234.4726063773 4180005.9272232363),1231.0000,42.0369,899
276,POINT (570808.2419340783 4180088.742535093),935.0000,35.3961,899
277,POINT (571124.631719971 4180333.577592529),1676.0000,44.3614,899
278,POINT (571460.9127431568 4180593.0937285908),1076.0000,40.9282,899
279,POINT (571255.3270530667 4179314.6789396205),1167.0000,42.0574,895
280,POINT (570719.096249886 4178966.161705147),1326.0000,87.0859,895
281,POINT (570923.249744289 4179479.1800904996),919.0000,59.6490,895
282,POINT (570448.9417124899 4179622.220950571),2135.0000,108.6082,895
283,POINT (571486.559610301 4178728.7073578425),1455.0000,115.4571,894
284,POINT (571424.3777574929 4179022.420826836),1959.0000,82.6884,894
285,POINT (571340.6454263888 4177299.6957882456),2098.0000,321.7306,875
286,POINT (569687.3242217964 4177805.33862929),4.0000,1396.3224,875
287,POINT (570986.1720348357 4176289.0172236473),1450.0000,261.8773,875
288,POINT (572005.660779195 4176426.911351896),1167.0000,73.6816,876
289,POINT (571859.5292025394 4176440.48564602),1088.0000,47.4542,876
290,POINT (572596.5626121839 4176046.9838632895),1794.0000,110.4240,877
291,POINT (572204.0473467688 4176121.472499298),1358.0000,66.5819,877
292,POINT (573027.9950967584 4177456.044648787),1661.0000,54.8208,878
293,POINT (573198.4816970922 4177014.763251441),1283.0000,48.1946,878
294,POINT (572591.883088747 4177078.8478703015),1376.0000,112.7559,878
295,POINT (572821.4808243664 4176578.0246715667),909.0000,50.0044,878
296,POINT (572839.3769851868 4177847.14411736),932.0000,31.4184,892
297,POINT (572049.8698649358 4177711.687442057),1950.0000,230.5394,892
298,POINT (572579.6130118297 4178171.222960039),1424.0000,47.6090,892
299,POINT (571647.0054957786 4178333.5033396226),884.0000,123.6066,893
300,POINT (572223.4801134373 4178714.2766557136),1305.0000,48.7722,893
301,POINT (572388.8563921123 4178437.9320077817),933.0000,34.2133,893
302,POINT (572861.6991305217 4179152.1956312046),977.0000,34.7563,891
303,POINT (573071.4362387566 4178802.0960544776),1083.0000,36.5629,891
304,POINT (573163.5353538416 4178442.7988416976),853.0000,28.6521,891
305,POINT (572858.4646562914 4178437.7119502546),886.0000,38.6251,891
306,POINT (572603.6166696233 4178907.51851476),1264.0000,45.9856,891
307,POINT (573541.713034901 4179437.491615122),854.0000,60.8154,888
308,POINT (573619.4108522229 4178701.035515127),1814.0000,52.7465,888
309,POINT (573493.2695158768 4178980.1829683585),1034.0000,42.8393,888
310,POINT (573189.6571556063 4179307.112817957),994.0000,43.9424,888
311,POINT (574409.3853460345 4179982.552174343),726.0000,186.4855,887
312,POINT (574139.6333781163 4179210.2681681416),1497.0000,159.7355,887
313,POINT (574644.7595051781 4179332.7268721634),664.0000,95.8099,887
314,POINT (575291.7845127046 4180347.386609454),637.0000,351.3882,884
315,POINT (575269.0921335211 4179355.610390879),622.0000,95.3132,884
316,POINT (576471.4174082134 4179771.2780441022),1192.0000,465.5652,884
317,POINT (577426.3821085742 4178644.601094899),857.0000,157.6245,884
318,POINT (577064.368134488 4177049.2612735014),901.0000,662.5941,883
319,POINT (576264.8400595105 4177941.041560614),1897.0000,609.5020,883
320,POINT (575650.8771593507 4178712.391270522),7.0000,384.2854,883
321,POINT (574342.0331324378 4178477.114059241),1103.0000,81.1694,882
322,POINT (574738.3246376038 4177962.015663532),1303.0000,112.5398,882
323,POINT (573987.5167150156 4178278.3016787283),1524.0000,65.5751,881
324,POINT (574351.6947968198 4177716.9557069424),715.0000,40.6370,881
325,POINT (574604.1019580279 4177415.1566825304),823.0000,38.4569,881
326,POINT (573669.898400393 4178220.025300519),978.0000,42.3994,880
327,POINT (573543.2168668304 4177999.9391484973),1147.0000,51.1775,880
328,POINT (573199.6761808533 4177916.418751571),1411.0000,49.2353,880
329,POINT (573969.3175054931 4177636.6982905515),935.0000,37.8053,879
330,POINT (574104.0698705472 4177279.8846199503),1012.0000,46.4448,879
331,POINT (573606.7450006561 4177341.4371341597),1845.0000,90.2398,879
332,POINT (562588.782000943 4184974.3198400284),2193.0000,178.8963,984
333,POINT (562169.8502290564 4194462.009222179),1001.0000,67.5537,1035
334,POINT (562556.0576340497 4194456.487895491),755.0000,36.7886,1035
335,POINT (562432.0790971596 4194106.314008664),599.0000,32.0808,1035
336,POINT (561677.5195165764 4194627.428564476),1196.0000,40.3943,1036
337,POINT (561933.5232976739 4194201.3447021334),755.0000,39.9674,1036
338,POINT (561684.7388761339 4194156.452441954),947.0000,34.0132,1036
339,POINT (561457.7538984226 4193985.6214322564),1457.0000,60.9324,1039
340,POINT (561115.7765801928 4194383.31264403),2330.0000,101.7184,1039
341,POINT (561918.7529059083 4193706.8623182336),913.0000,45.0386,1037
342,POINT (562049.4450432732 4193301.580007727),1395.0000,57.7568,1037
343,POINT (562902.4971590815 4193421.4380952786),1352.0000,86.4992,1034
344,POINT (562680.2316749329 4193588.149401794),878.0000,52.2428,1034
345,POINT (562373.1649047307 4193611.1225341307),1053.0000,56.1968,1034
346,POINT (564666.2500690746 4195088.707860733),725.0000,76.9781,1030
347,POINT (564405.6619241446 4194783.112072169),1267.0000,107.1129,1030
348,POINT (563984.3158382897 4195162.171755821),661.0000,63.4421,1031
349,POINT (563925.6474069721 4194215.9337930256),1331.0000,122.9910,1031
350,POINT (563523.4476416633 4194639.817109525),752.0000,71.3804,1031
351,POINT (563549.6804513194 4195029.0420699995),819.0000,76.9413,1031
352,POINT (563144.3058625943 4194490.376578423),1149.0000,82.5608,1033
353,POINT (562930.9935522333 4194214.7864362416),1081.0000,68.1321,1033
354,POINT (563431.5675072765 4193413.7986373357),881.0000,65.9714,1033
355,POINT (563275.7996498923 4193597.7107385993),733.0000,56.5996,1033
356,POINT (564276.2186238581 4193771.791032831),915.0000,64.6357,1032
357,POINT (563902.3395624883 4193560.13210558),678.0000,52.6025,1032
358,POINT (565398.7953126533 4194357.359798686),1299.0000,163.9563,1029
359,POINT (564869.4817502707 4194103.2796601565),1190.0000,110.0675,1029
360,POINT (564953.8033665969 4193612.828892683),1151.0000,119.6651,1029
361,POINT (565941.5267711022 4193413.3962560394),934.0000,104.5454,1028
362,POINT (565487.55245436 4193174.974147743),1129.0000,125.0849,1028
363,POINT (564703.5892804374 4193142.7016431945),790.0000,54.4528,1028
364,POINT (564936.4961031983 4192836.381304589),705.0000,45.1949,1028
365,POINT (564158.2040102205 4193167.497946025),1396.0000,71.1763,1027
366,POINT (564189.7856060616 4192864.1244674968),703.0000,35.5859,1027
367,POINT (564209.9469981594 4192663.7532263007),1099.0000,34.9335,1027
368,POINT (563646.9670227712 4192883.113156091),1025.0000,68.2046,1026
369,POINT (563287.461687381 4192663.0704736193),982.0000,62.2932,1026
370,POINT (562698.1274391616 4192801.1534851547),816.0000,53.6404,1025
371,POINT (562730.8050988597 4192473.639785958),996.0000,57.5801,1025
372,POINT (562272.7590621973 4192605.8252562904),999.0000,50.9451,1025
373,POINT (562120.7914063651 4192874.9289150215),821.0000,48.9850,1025
374,POINT (561371.7395487239 4192288.6430847403),793.0000,297.0004,1014
375,POINT (561778.2801300175 4192332.074024746),909.0000,49.3212,1024
376,POINT (561920.3866536253 4191798.3050331483),1776.0000,86.9709,1024
377,POINT (562682.4765539537 4192133.5070735905),1100.0000,76.4083,1023
378,POINT (562866.0055376937 4191777.859644356),990.0000,39.3005,1023
379,POINT (562388.7765831205 4191808.439777011),1054.0000,50.9730,1023
380,POINT (563484.19293604 4192338.5450882507),883.0000,39.4115,1022
381,POINT (563503.4610950503 4192087.7701960495),1403.0000,59.7529,1022
382,POINT (563531.1106011341 4191839.207053156),1101.0000,39.1291,1022
383,POINT (564439.0064819754 4192274.7746735364),2004.0000,46.9721,1021
384,POINT (564122.2739616374 4191992.154507495),898.0000,30.2654,1021
385,POINT (564087.788812906 4192339.6132784802),1294.0000,40.1961,1021
386,POINT (565005.5032500351 4192610.468133993),1131.0000,38.3511,1020
387,POINT (565371.1628899517 4192458.5270550307),1635.0000,28.8899,1020
388,POINT (564888.3229885208 4192338.1112090247),1892.0000,46.4317,1020
389,POINT (565554.2305297013 4192071.7408270477),1215.0000,419.6110,1019
390,POINT (566202.7525837326 4191466.8040717123),958.0000,44.9022,1007
391,POINT (565933.4012710432 4191338.168306542),1205.0000,16.2023,1007
392,POINT (565715.6789620146 4191410.963976511),2722.0000,24.8529,1007
393,POINT (565359.5125698771 4191322.356465505),4274.0000,45.1843,1008
394,POINT (565081.6066754418 4191342.588460153),1772.0000,15.3226,1008
