distance_bin,HOV,Non-Motorized,Other,Ride Hail,SOV,Transit
< 0.5 mi,0.09863948840534854,0.28703040958431253,0.003512745283169758,0.0005012080333769599,0.10655328447334961,0.0025756566892234586
0.5 - 1 mi,0.17787533737012048,0.15576817474750662,0.008488666673022248,0.00046053464154015777,0.16356234170437345,0.009805178606932575
1 - 2 mi,0.34804728302636806,0.09330435095447775,0.026377639299827033,0.0028948374298527024,0.303893320821912,0.020777995622061122
2 - 5 mi,0.48553030450644125,0.026766492159209104,0.030108473030936254,0.0060708431578468695,0.4796171189956691,0.03710413906551295
5 - 10 mi,0.3119860434670275,0.009772882552580502,0.006330495154906455,0.003671796998923258,0.37672355483753656,0.039993473629135724
10+ mi,0.3397145067379729,0.004389957333030506,0.010008356468412093,0.002411289187017546,0.4996011318131346,0.04567938570138631
